"country";"truckClass";"truckTechnology";"vehicleParameterScenario";"period";"paperScen";"parameter";"unit";"value"
"DE";"Rigid";"BET large battery";"HC_LTM";2030;"Current policies";"Glider/Vehicle body invest without drivetrain";"EUR/veh";96000
"DE";"Rigid";"BET large battery";"HC_LTM";2030;"Current policies";"Electric motor costs";"EUR/veh";12012
"DE";"Rigid";"BET large battery";"HC_LTM";2030;"Current policies";"Power electronics costs";"EUR/veh";13213,2
"DE";"Rigid";"BET large battery";"HC_LTM";2030;"Current policies";"Battery";"EUR/veh";165880
"DE";"Rigid";"BET large battery";"HC_LTM";2030;"Removed policies";"Glider/Vehicle body invest without drivetrain";"EUR/veh";96000
"DE";"Rigid";"BET large battery";"HC_LTM";2030;"Removed policies";"Electric motor costs";"EUR/veh";12012
"DE";"Rigid";"BET large battery";"HC_LTM";2030;"Removed policies";"Power electronics costs";"EUR/veh";13213,2
"DE";"Rigid";"BET large battery";"HC_LTM";2030;"Removed policies";"Battery";"EUR/veh";165880
"DE";"Rigid";"BET large battery";"HC_LTM";2030;"Sensitivity | Current Policies | Removed CO2 price";"Glider/Vehicle body invest without drivetrain";"EUR/veh";96000
"DE";"Rigid";"BET large battery";"HC_LTM";2030;"Sensitivity | Current Policies | Removed CO2 price";"Electric motor costs";"EUR/veh";12012
"DE";"Rigid";"BET large battery";"HC_LTM";2030;"Sensitivity | Current Policies | Removed CO2 price";"Power electronics costs";"EUR/veh";13213,2
"DE";"Rigid";"BET large battery";"HC_LTM";2030;"Sensitivity | Current Policies | Removed CO2 price";"Battery";"EUR/veh";165880
"DE";"Rigid";"BET large battery";"HC_LTM";2030;"Sensitivity | Current Policies | Urban depot-only charging";"Glider/Vehicle body invest without drivetrain";"EUR/veh";96000
"DE";"Rigid";"BET large battery";"HC_LTM";2030;"Sensitivity | Current Policies | Urban depot-only charging";"Electric motor costs";"EUR/veh";12012
"DE";"Rigid";"BET large battery";"HC_LTM";2030;"Sensitivity | Current Policies | Urban depot-only charging";"Power electronics costs";"EUR/veh";13213,2
"DE";"Rigid";"BET large battery";"HC_LTM";2030;"Sensitivity | Current Policies | Urban depot-only charging";"Battery";"EUR/veh";165880
"DE";"Rigid";"BET large battery";"HC_LTM";2030;"Sensitivity | Current policies | Removed diesel efficiency gains";"Glider/Vehicle body invest without drivetrain";"EUR/veh";96000
"DE";"Rigid";"BET large battery";"HC_LTM";2030;"Sensitivity | Current policies | Removed diesel efficiency gains";"Electric motor costs";"EUR/veh";12012
"DE";"Rigid";"BET large battery";"HC_LTM";2030;"Sensitivity | Current policies | Removed diesel efficiency gains";"Power electronics costs";"EUR/veh";13213,2
"DE";"Rigid";"BET large battery";"HC_LTM";2030;"Sensitivity | Current policies | Removed diesel efficiency gains";"Battery";"EUR/veh";165880
