"category";"subCategory";"country";"parameter";"truckClass";"energyCarrierParameterScenario";"unit";"period";"value";"paperScen";"energyCarrier"
"OPEX";"Taxes";"DE";"Network Costs - MCS";"Rigid";"PROG";"EUR/kWh";2030;"0.038";"Current policies";"Electricity"
"OPEX";"Taxes";"DE";"Network Costs - MCS";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.038";"Current policies";"Electricity"
"OPEX";"Taxes";"ES";"Network Costs - MCS";"Rigid";"PROG";"EUR/kWh";2030;"0.018";"Current policies";"Electricity"
"OPEX";"Taxes";"ES";"Network Costs - MCS";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.018";"Current policies";"Electricity"
"OPEX";"Taxes";"FR";"Network Costs - MCS";"Rigid";"PROG";"EUR/kWh";2030;"0.018";"Current policies";"Electricity"
"OPEX";"Taxes";"FR";"Network Costs - MCS";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.018";"Current policies";"Electricity"
"OPEX";"Taxes";"IT";"Network Costs - MCS";"Rigid";"PROG";"EUR/kWh";2030;"0.016";"Current policies";"Electricity"
"OPEX";"Taxes";"IT";"Network Costs - MCS";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.016";"Current policies";"Electricity"
"OPEX";"Taxes";"NL";"Network Costs - MCS";"Rigid";"PROG";"EUR/kWh";2030;"0.016";"Current policies";"Electricity"
"OPEX";"Taxes";"NL";"Network Costs - MCS";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.016";"Current policies";"Electricity"
"OPEX";"Taxes";"PL";"Network Costs - MCS";"Rigid";"PROG";"EUR/kWh";2030;"0.019";"Current policies";"Electricity"
"OPEX";"Taxes";"PL";"Network Costs - MCS";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.019";"Current policies";"Electricity"
"OPEX";"Taxes";"UK";"Network Costs - MCS";"Rigid";"PROG";"EUR/kWh";2030;"0.027";"Current policies";"Electricity"
"OPEX";"Taxes";"UK";"Network Costs - MCS";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.027";"Current policies";"Electricity"
"OPEX";"Taxes";"DE";"Taxes, Fees, Levies and charges - MCS";"Rigid";"PROG";"EUR/kWh";2030;"0.073";"Current policies";"Electricity"
"OPEX";"Taxes";"DE";"Taxes, Fees, Levies and charges - MCS";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.073";"Current policies";"Electricity"
"OPEX";"Taxes";"ES";"Taxes, Fees, Levies and charges - MCS";"Rigid";"PROG";"EUR/kWh";2030;"0.036";"Current policies";"Electricity"
"OPEX";"Taxes";"ES";"Taxes, Fees, Levies and charges - MCS";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.036";"Current policies";"Electricity"
"OPEX";"Taxes";"FR";"Taxes, Fees, Levies and charges - MCS";"Rigid";"PROG";"EUR/kWh";2030;"0.03";"Current policies";"Electricity"
"OPEX";"Taxes";"FR";"Taxes, Fees, Levies and charges - MCS";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.03";"Current policies";"Electricity"
"OPEX";"Taxes";"IT";"Taxes, Fees, Levies and charges - MCS";"Rigid";"PROG";"EUR/kWh";2030;"0.063";"Current policies";"Electricity"
"OPEX";"Taxes";"IT";"Taxes, Fees, Levies and charges - MCS";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.063";"Current policies";"Electricity"
"OPEX";"Taxes";"NL";"Taxes, Fees, Levies and charges - MCS";"Rigid";"PROG";"EUR/kWh";2030;"0.055";"Current policies";"Electricity"
"OPEX";"Taxes";"NL";"Taxes, Fees, Levies and charges - MCS";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.055";"Current policies";"Electricity"
"OPEX";"Taxes";"PL";"Taxes, Fees, Levies and charges - MCS";"Rigid";"PROG";"EUR/kWh";2030;"0.049";"Current policies";"Electricity"
"OPEX";"Taxes";"PL";"Taxes, Fees, Levies and charges - MCS";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.049";"Current policies";"Electricity"
"OPEX";"Taxes";"UK";"Taxes, Fees, Levies and charges - MCS";"Rigid";"PROG";"EUR/kWh";2030;"0.077";"Current policies";"Electricity"
"OPEX";"Taxes";"UK";"Taxes, Fees, Levies and charges - MCS";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.077";"Current policies";"Electricity"
"OPEX";"Taxes";"DE";"Network Costs - Depot";"Rigid";"PROG";"EUR/kWh";2030;"0.044";"Current policies";"Electricity"
"OPEX";"Taxes";"DE";"Network Costs - Depot";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.044";"Current policies";"Electricity"
"OPEX";"Taxes";"ES";"Network Costs - Depot";"Rigid";"PROG";"EUR/kWh";2030;"0.031";"Current policies";"Electricity"
"OPEX";"Taxes";"ES";"Network Costs - Depot";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.031";"Current policies";"Electricity"
"OPEX";"Taxes";"FR";"Network Costs - Depot";"Rigid";"PROG";"EUR/kWh";2030;"0.024";"Current policies";"Electricity"
"OPEX";"Taxes";"FR";"Network Costs - Depot";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.024";"Current policies";"Electricity"
"OPEX";"Taxes";"IT";"Network Costs - Depot";"Rigid";"PROG";"EUR/kWh";2030;"0.018";"Current policies";"Electricity"
"OPEX";"Taxes";"IT";"Network Costs - Depot";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.018";"Current policies";"Electricity"
"OPEX";"Taxes";"NL";"Network Costs - Depot";"Rigid";"PROG";"EUR/kWh";2030;"0.019";"Current policies";"Electricity"
"OPEX";"Taxes";"NL";"Network Costs - Depot";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.019";"Current policies";"Electricity"
"OPEX";"Taxes";"PL";"Network Costs - Depot";"Rigid";"PROG";"EUR/kWh";2030;"0.026";"Current policies";"Electricity"
"OPEX";"Taxes";"PL";"Network Costs - Depot";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.026";"Current policies";"Electricity"
"OPEX";"Taxes";"UK";"Network Costs - Depot";"Rigid";"PROG";"EUR/kWh";2030;"0.029";"Current policies";"Electricity"
"OPEX";"Taxes";"UK";"Network Costs - Depot";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.029";"Current policies";"Electricity"
"OPEX";"Taxes";"DE";"Taxes, Fees, Levies and charges - Depot";"Rigid";"PROG";"EUR/kWh";2030;"0.062";"Current policies";"Electricity"
"OPEX";"Taxes";"DE";"Taxes, Fees, Levies and charges - Depot";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.062";"Current policies";"Electricity"
"OPEX";"Taxes";"ES";"Taxes, Fees, Levies and charges - Depot";"Rigid";"PROG";"EUR/kWh";2030;"0.054";"Current policies";"Electricity"
"OPEX";"Taxes";"ES";"Taxes, Fees, Levies and charges - Depot";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.054";"Current policies";"Electricity"
"OPEX";"Taxes";"FR";"Taxes, Fees, Levies and charges - Depot";"Rigid";"PROG";"EUR/kWh";2030;"0.04";"Current policies";"Electricity"
"OPEX";"Taxes";"FR";"Taxes, Fees, Levies and charges - Depot";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.04";"Current policies";"Electricity"
"OPEX";"Taxes";"IT";"Taxes, Fees, Levies and charges - Depot";"Rigid";"PROG";"EUR/kWh";2030;"0.088";"Current policies";"Electricity"
"OPEX";"Taxes";"IT";"Taxes, Fees, Levies and charges - Depot";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.088";"Current policies";"Electricity"
"OPEX";"Taxes";"NL";"Taxes, Fees, Levies and charges - Depot";"Rigid";"PROG";"EUR/kWh";2030;"0.058";"Current policies";"Electricity"
"OPEX";"Taxes";"NL";"Taxes, Fees, Levies and charges - Depot";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.058";"Current policies";"Electricity"
"OPEX";"Taxes";"PL";"Taxes, Fees, Levies and charges - Depot";"Rigid";"PROG";"EUR/kWh";2030;"0.053";"Current policies";"Electricity"
"OPEX";"Taxes";"PL";"Taxes, Fees, Levies and charges - Depot";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.053";"Current policies";"Electricity"
"OPEX";"Taxes";"UK";"Taxes, Fees, Levies and charges - Depot";"Rigid";"PROG";"EUR/kWh";2030;"0.086";"Current policies";"Electricity"
"OPEX";"Taxes";"UK";"Taxes, Fees, Levies and charges - Depot";"Tractor-Trailer";"PROG";"EUR/kWh";2030;"0.086";"Current policies";"Electricity"
"OPEX";"H2 Infrastructure";"DE";"HRS costs";"Rigid";"PROG";"EUR/kg H2";2030;"1.1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"DE";"HRS costs";"Tractor-Trailer";"PROG";"EUR/kg H2";2030;"1.1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"ES";"HRS costs";"Rigid";"PROG";"EUR/kg H2";2030;"1.1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"ES";"HRS costs";"Tractor-Trailer";"PROG";"EUR/kg H2";2030;"1.1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"FR";"HRS costs";"Rigid";"PROG";"EUR/kg H2";2030;"1.1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"FR";"HRS costs";"Tractor-Trailer";"PROG";"EUR/kg H2";2030;"1.1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"IT";"HRS costs";"Rigid";"PROG";"EUR/kg H2";2030;"1.1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"IT";"HRS costs";"Tractor-Trailer";"PROG";"EUR/kg H2";2030;"1.1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"NL";"HRS costs";"Rigid";"PROG";"EUR/kg H2";2030;"1.1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"NL";"HRS costs";"Tractor-Trailer";"PROG";"EUR/kg H2";2030;"1.1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"PL";"HRS costs";"Rigid";"PROG";"EUR/kg H2";2030;"1.1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"PL";"HRS costs";"Tractor-Trailer";"PROG";"EUR/kg H2";2030;"1.1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"UK";"HRS costs";"Rigid";"PROG";"EUR/kg H2";2030;"1.1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"UK";"HRS costs";"Tractor-Trailer";"PROG";"EUR/kg H2";2030;"1.1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"DE";"H2 transport and distribution";"Rigid";"PROG";"EUR/kg H2";2030;"1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"DE";"H2 transport and distribution";"Tractor-Trailer";"PROG";"EUR/kg H2";2030;"1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"ES";"H2 transport and distribution";"Rigid";"PROG";"EUR/kg H2";2030;"1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"ES";"H2 transport and distribution";"Tractor-Trailer";"PROG";"EUR/kg H2";2030;"1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"FR";"H2 transport and distribution";"Rigid";"PROG";"EUR/kg H2";2030;"1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"FR";"H2 transport and distribution";"Tractor-Trailer";"PROG";"EUR/kg H2";2030;"1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"IT";"H2 transport and distribution";"Rigid";"PROG";"EUR/kg H2";2030;"1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"IT";"H2 transport and distribution";"Tractor-Trailer";"PROG";"EUR/kg H2";2030;"1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"NL";"H2 transport and distribution";"Rigid";"PROG";"EUR/kg H2";2030;"1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"NL";"H2 transport and distribution";"Tractor-Trailer";"PROG";"EUR/kg H2";2030;"1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"PL";"H2 transport and distribution";"Rigid";"PROG";"EUR/kg H2";2030;"1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"PL";"H2 transport and distribution";"Tractor-Trailer";"PROG";"EUR/kg H2";2030;"1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"UK";"H2 transport and distribution";"Rigid";"PROG";"EUR/kg H2";2030;"1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"UK";"H2 transport and distribution";"Tractor-Trailer";"PROG";"EUR/kg H2";2030;"1";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"DE";"HRS Overhead, Profit and Mark-Up";"Rigid";"PROG";"EUR/kg H2";2030;"0.25";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"DE";"HRS Overhead, Profit and Mark-Up";"Tractor-Trailer";"PROG";"EUR/kg H2";2030;"0.25";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"ES";"HRS Overhead, Profit and Mark-Up";"Rigid";"PROG";"EUR/kg H2";2030;"0.25";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"ES";"HRS Overhead, Profit and Mark-Up";"Tractor-Trailer";"PROG";"EUR/kg H2";2030;"0.25";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"FR";"HRS Overhead, Profit and Mark-Up";"Rigid";"PROG";"EUR/kg H2";2030;"0.25";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"FR";"HRS Overhead, Profit and Mark-Up";"Tractor-Trailer";"PROG";"EUR/kg H2";2030;"0.25";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"IT";"HRS Overhead, Profit and Mark-Up";"Rigid";"PROG";"EUR/kg H2";2030;"0.25";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"IT";"HRS Overhead, Profit and Mark-Up";"Tractor-Trailer";"PROG";"EUR/kg H2";2030;"0.25";"Current policies";"Hydrogen"
"OPEX";"H2 Infrastructure";"NL";"HRS Overhead, Profit and Mark-Up";"Rigid";"PROG";"EUR/kg H2";2030;"0.25";"Current policies";"Hydrogen"
