"category";"subCategory";"country";"parameter";"truckClass";"truckTechnology";"vehicleParameterScenario";"unit";"period";"value";"paperScen"
"CAPEX";"Vehicle Spec";"DE";"Battery capacity";"Tractor-trailer";"BET large battery";"LC_HTM";"kWh";2030;750;"Current policies"
"CAPEX";"Vehicle Spec";"ES";"Battery capacity";"Tractor-trailer";"BET large battery";"LC_HTM";"kWh";2030;750;"Current policies"
"CAPEX";"Vehicle Spec";"FR";"Battery capacity";"Tractor-trailer";"BET large battery";"LC_HTM";"kWh";2030;750;"Current policies"
"CAPEX";"Vehicle Spec";"IT";"Battery capacity";"Tractor-trailer";"BET large battery";"LC_HTM";"kWh";2030;750;"Current policies"
"CAPEX";"Vehicle Spec";"NL";"Battery capacity";"Tractor-trailer";"BET large battery";"LC_HTM";"kWh";2030;750;"Current policies"
"CAPEX";"Vehicle Spec";"PL";"Battery capacity";"Tractor-trailer";"BET large battery";"LC_HTM";"kWh";2030;750;"Current policies"
"CAPEX";"Vehicle Spec";"UK";"Battery capacity";"Tractor-trailer";"BET large battery";"LC_HTM";"kWh";2030;750;"Current policies"
"CAPEX";"Vehicle Spec";"DE";"Battery capacity";"Tractor-trailer";"BET small battery";"LC_HTM";"kWh";2030;440;"Current policies"
"CAPEX";"Vehicle Spec";"ES";"Battery capacity";"Tractor-trailer";"BET small battery";"LC_HTM";"kWh";2030;440;"Current policies"
"CAPEX";"Vehicle Spec";"FR";"Battery capacity";"Tractor-trailer";"BET small battery";"LC_HTM";"kWh";2030;440;"Current policies"
"CAPEX";"Vehicle Spec";"IT";"Battery capacity";"Tractor-trailer";"BET small battery";"LC_HTM";"kWh";2030;440;"Current policies"
"CAPEX";"Vehicle Spec";"NL";"Battery capacity";"Tractor-trailer";"BET small battery";"LC_HTM";"kWh";2030;440;"Current policies"
"CAPEX";"Vehicle Spec";"PL";"Battery capacity";"Tractor-trailer";"BET small battery";"LC_HTM";"kWh";2030;440;"Current policies"
"CAPEX";"Vehicle Spec";"UK";"Battery capacity";"Tractor-trailer";"BET small battery";"LC_HTM";"kWh";2030;440;"Current policies"
"CAPEX";"Vehicle Spec";"DE";"Battery capacity";"Rigid";"BET large battery";"LC_HTM";"kWh";2030;700;"Current policies"
"CAPEX";"Vehicle Spec";"ES";"Battery capacity";"Rigid";"BET large battery";"LC_HTM";"kWh";2030;700;"Current policies"
"CAPEX";"Vehicle Spec";"FR";"Battery capacity";"Rigid";"BET large battery";"LC_HTM";"kWh";2030;700;"Current policies"
"CAPEX";"Vehicle Spec";"IT";"Battery capacity";"Rigid";"BET large battery";"LC_HTM";"kWh";2030;700;"Current policies"
"CAPEX";"Vehicle Spec";"NL";"Battery capacity";"Rigid";"BET large battery";"LC_HTM";"kWh";2030;700;"Current policies"
"CAPEX";"Vehicle Spec";"PL";"Battery capacity";"Rigid";"BET large battery";"LC_HTM";"kWh";2030;700;"Current policies"
"CAPEX";"Vehicle Spec";"UK";"Battery capacity";"Rigid";"BET large battery";"LC_HTM";"kWh";2030;700;"Current policies"
"CAPEX";"Vehicle Spec";"DE";"Battery capacity";"Rigid";"BET small battery";"LC_HTM";"kWh";2030;410;"Current policies"
"CAPEX";"Vehicle Spec";"ES";"Battery capacity";"Rigid";"BET small battery";"LC_HTM";"kWh";2030;410;"Current policies"
"CAPEX";"Vehicle Spec";"FR";"Battery capacity";"Rigid";"BET small battery";"LC_HTM";"kWh";2030;410;"Current policies"
"CAPEX";"Vehicle Spec";"IT";"Battery capacity";"Rigid";"BET small battery";"LC_HTM";"kWh";2030;410;"Current policies"
"CAPEX";"Vehicle Spec";"NL";"Battery capacity";"Rigid";"BET small battery";"LC_HTM";"kWh";2030;410;"Current policies"
"CAPEX";"Vehicle Spec";"PL";"Battery capacity";"Rigid";"BET small battery";"LC_HTM";"kWh";2030;410;"Current policies"
"CAPEX";"Vehicle Spec";"UK";"Battery capacity";"Rigid";"BET small battery";"LC_HTM";"kWh";2030;410;"Current policies"
"CAPEX";"Vehicle Spec";"DE";"Battery capacity";"Tractor-trailer";"BET large battery";"MC_MTM";"kWh";2030;680;"Current policies"
"CAPEX";"Vehicle Spec";"ES";"Battery capacity";"Tractor-trailer";"BET large battery";"MC_MTM";"kWh";2030;680;"Current policies"
"CAPEX";"Vehicle Spec";"FR";"Battery capacity";"Tractor-trailer";"BET large battery";"MC_MTM";"kWh";2030;680;"Current policies"
"CAPEX";"Vehicle Spec";"IT";"Battery capacity";"Tractor-trailer";"BET large battery";"MC_MTM";"kWh";2030;680;"Current policies"
"CAPEX";"Vehicle Spec";"NL";"Battery capacity";"Tractor-trailer";"BET large battery";"MC_MTM";"kWh";2030;680;"Current policies"
"CAPEX";"Vehicle Spec";"PL";"Battery capacity";"Tractor-trailer";"BET large battery";"MC_MTM";"kWh";2030;680;"Current policies"
"CAPEX";"Vehicle Spec";"UK";"Battery capacity";"Tractor-trailer";"BET large battery";"MC_MTM";"kWh";2030;680;"Current policies"
"CAPEX";"Vehicle Spec";"DE";"Battery capacity";"Tractor-trailer";"BET small battery";"MC_MTM";"kWh";2030;440;"Current policies"
"CAPEX";"Vehicle Spec";"ES";"Battery capacity";"Tractor-trailer";"BET small battery";"MC_MTM";"kWh";2030;440;"Current policies"
"CAPEX";"Vehicle Spec";"FR";"Battery capacity";"Tractor-trailer";"BET small battery";"MC_MTM";"kWh";2030;440;"Current policies"
"CAPEX";"Vehicle Spec";"IT";"Battery capacity";"Tractor-trailer";"BET small battery";"MC_MTM";"kWh";2030;440;"Current policies"
"CAPEX";"Vehicle Spec";"NL";"Battery capacity";"Tractor-trailer";"BET small battery";"MC_MTM";"kWh";2030;440;"Current policies"
"CAPEX";"Vehicle Spec";"PL";"Battery capacity";"Tractor-trailer";"BET small battery";"MC_MTM";"kWh";2030;440;"Current policies"
"CAPEX";"Vehicle Spec";"UK";"Battery capacity";"Tractor-trailer";"BET small battery";"MC_MTM";"kWh";2030;440;"Current policies"
"CAPEX";"Vehicle Spec";"DE";"Battery capacity";"Rigid";"BET large battery";"MC_MTM";"kWh";2030;620;"Current policies"
"CAPEX";"Vehicle Spec";"ES";"Battery capacity";"Rigid";"BET large battery";"MC_MTM";"kWh";2030;620;"Current policies"
"CAPEX";"Vehicle Spec";"FR";"Battery capacity";"Rigid";"BET large battery";"MC_MTM";"kWh";2030;620;"Current policies"
"CAPEX";"Vehicle Spec";"IT";"Battery capacity";"Rigid";"BET large battery";"MC_MTM";"kWh";2030;620;"Current policies"
"CAPEX";"Vehicle Spec";"NL";"Battery capacity";"Rigid";"BET large battery";"MC_MTM";"kWh";2030;620;"Current policies"
"CAPEX";"Vehicle Spec";"PL";"Battery capacity";"Rigid";"BET large battery";"MC_MTM";"kWh";2030;620;"Current policies"
"CAPEX";"Vehicle Spec";"UK";"Battery capacity";"Rigid";"BET large battery";"MC_MTM";"kWh";2030;620;"Current policies"
"CAPEX";"Vehicle Spec";"DE";"Battery capacity";"Rigid";"BET small battery";"MC_MTM";"kWh";2030;410;"Current policies"
"CAPEX";"Vehicle Spec";"ES";"Battery capacity";"Rigid";"BET small battery";"MC_MTM";"kWh";2030;410;"Current policies"
"CAPEX";"Vehicle Spec";"FR";"Battery capacity";"Rigid";"BET small battery";"MC_MTM";"kWh";2030;410;"Current policies"
"CAPEX";"Vehicle Spec";"IT";"Battery capacity";"Rigid";"BET small battery";"MC_MTM";"kWh";2030;410;"Current policies"
"CAPEX";"Vehicle Spec";"NL";"Battery capacity";"Rigid";"BET small battery";"MC_MTM";"kWh";2030;410;"Current policies"
"CAPEX";"Vehicle Spec";"PL";"Battery capacity";"Rigid";"BET small battery";"MC_MTM";"kWh";2030;410;"Current policies"
"CAPEX";"Vehicle Spec";"UK";"Battery capacity";"Rigid";"BET small battery";"MC_MTM";"kWh";2030;410;"Current policies"
"CAPEX";"Vehicle Spec";"DE";"Battery capacity";"Tractor-trailer";"BET large battery";"HC_LTM";"kWh";2030;620;"Current policies"
"CAPEX";"Vehicle Spec";"ES";"Battery capacity";"Tractor-trailer";"BET large battery";"HC_LTM";"kWh";2030;620;"Current policies"
"CAPEX";"Vehicle Spec";"FR";"Battery capacity";"Tractor-trailer";"BET large battery";"HC_LTM";"kWh";2030;620;"Current policies"
"CAPEX";"Vehicle Spec";"IT";"Battery capacity";"Tractor-trailer";"BET large battery";"HC_LTM";"kWh";2030;620;"Current policies"
"CAPEX";"Vehicle Spec";"NL";"Battery capacity";"Tractor-trailer";"BET large battery";"HC_LTM";"kWh";2030;620;"Current policies"
"CAPEX";"Vehicle Spec";"PL";"Battery capacity";"Tractor-trailer";"BET large battery";"HC_LTM";"kWh";2030;620;"Current policies"
"CAPEX";"Vehicle Spec";"UK";"Battery capacity";"Tractor-trailer";"BET large battery";"HC_LTM";"kWh";2030;620;"Current policies"
"CAPEX";"Vehicle Spec";"DE";"Battery capacity";"Tractor-trailer";"BET small battery";"HC_LTM";"kWh";2030;420;"Current policies"
"CAPEX";"Vehicle Spec";"ES";"Battery capacity";"Tractor-trailer";"BET small battery";"HC_LTM";"kWh";2030;420;"Current policies"
"CAPEX";"Vehicle Spec";"FR";"Battery capacity";"Tractor-trailer";"BET small battery";"HC_LTM";"kWh";2030;420;"Current policies"
"CAPEX";"Vehicle Spec";"IT";"Battery capacity";"Tractor-trailer";"BET small battery";"HC_LTM";"kWh";2030;420;"Current policies"
"CAPEX";"Vehicle Spec";"NL";"Battery capacity";"Tractor-trailer";"BET small battery";"HC_LTM";"kWh";2030;420;"Current policies"
"CAPEX";"Vehicle Spec";"PL";"Battery capacity";"Tractor-trailer";"BET small battery";"HC_LTM";"kWh";2030;420;"Current policies"
"CAPEX";"Vehicle Spec";"UK";"Battery capacity";"Tractor-trailer";"BET small battery";"HC_LTM";"kWh";2030;420;"Current policies"
"CAPEX";"Vehicle Spec";"DE";"Battery capacity";"Rigid";"BET large battery";"HC_LTM";"kWh";2030;580;"Current policies"
"CAPEX";"Vehicle Spec";"ES";"Battery capacity";"Rigid";"BET large battery";"HC_LTM";"kWh";2030;580;"Current policies"
"CAPEX";"Vehicle Spec";"FR";"Battery capacity";"Rigid";"BET large battery";"HC_LTM";"kWh";2030;580;"Current policies"
"CAPEX";"Vehicle Spec";"IT";"Battery capacity";"Rigid";"BET large battery";"HC_LTM";"kWh";2030;580;"Current policies"
"CAPEX";"Vehicle Spec";"NL";"Battery capacity";"Rigid";"BET large battery";"HC_LTM";"kWh";2030;580;"Current policies"
"CAPEX";"Vehicle Spec";"PL";"Battery capacity";"Rigid";"BET large battery";"HC_LTM";"kWh";2030;580;"Current policies"
"CAPEX";"Vehicle Spec";"UK";"Battery capacity";"Rigid";"BET large battery";"HC_LTM";"kWh";2030;580;"Current policies"
"CAPEX";"Vehicle Spec";"DE";"Battery capacity";"Rigid";"BET small battery";"HC_LTM";"kWh";2030;390;"Current policies"
"CAPEX";"Vehicle Spec";"ES";"Battery capacity";"Rigid";"BET small battery";"HC_LTM";"kWh";2030;390;"Current policies"
"CAPEX";"Vehicle Spec";"FR";"Battery capacity";"Rigid";"BET small battery";"HC_LTM";"kWh";2030;390;"Current policies"
"CAPEX";"Vehicle Spec";"IT";"Battery capacity";"Rigid";"BET small battery";"HC_LTM";"kWh";2030;390;"Current policies"
"CAPEX";"Vehicle Spec";"NL";"Battery capacity";"Rigid";"BET small battery";"HC_LTM";"kWh";2030;390;"Current policies"
"CAPEX";"Vehicle Spec";"PL";"Battery capacity";"Rigid";"BET small battery";"HC_LTM";"kWh";2030;390;"Current policies"
"CAPEX";"Vehicle Spec";"UK";"Battery capacity";"Rigid";"BET small battery";"HC_LTM";"kWh";2030;390;"Current policies"
"OPEX";"Energy";"DE";"Specific Energy Consumption";"Tractor-trailer";"ICET";"LC_HTM";"kWh/100km";2030;265;"Current policies"
"OPEX";"Energy";"ES";"Specific Energy Consumption";"Tractor-trailer";"ICET";"LC_HTM";"kWh/100km";2030;265;"Current policies"
"OPEX";"Energy";"FR";"Specific Energy Consumption";"Tractor-trailer";"ICET";"LC_HTM";"kWh/100km";2030;265;"Current policies"
"OPEX";"Energy";"IT";"Specific Energy Consumption";"Tractor-trailer";"ICET";"LC_HTM";"kWh/100km";2030;265;"Current policies"
"OPEX";"Energy";"NL";"Specific Energy Consumption";"Tractor-trailer";"ICET";"LC_HTM";"kWh/100km";2030;265;"Current policies"
"OPEX";"Energy";"PL";"Specific Energy Consumption";"Tractor-trailer";"ICET";"LC_HTM";"kWh/100km";2030;265;"Current policies"
"OPEX";"Energy";"UK";"Specific Energy Consumption";"Tractor-trailer";"ICET";"LC_HTM";"kWh/100km";2030;265;"Current policies"
"OPEX";"Energy";"DE";"Specific Energy Consumption";"Tractor-trailer";"ICET";"MC_MTM";"kWh/100km";2030;276,5;"Current policies"
"OPEX";"Energy";"ES";"Specific Energy Consumption";"Tractor-trailer";"ICET";"MC_MTM";"kWh/100km";2030;276,5;"Current policies"
"OPEX";"Energy";"FR";"Specific Energy Consumption";"Tractor-trailer";"ICET";"MC_MTM";"kWh/100km";2030;276,5;"Current policies"
"OPEX";"Energy";"IT";"Specific Energy Consumption";"Tractor-trailer";"ICET";"MC_MTM";"kWh/100km";2030;276,5;"Current policies"
"OPEX";"Energy";"NL";"Specific Energy Consumption";"Tractor-trailer";"ICET";"MC_MTM";"kWh/100km";2030;276,5;"Current policies"
"OPEX";"Energy";"PL";"Specific Energy Consumption";"Tractor-trailer";"ICET";"MC_MTM";"kWh/100km";2030;276,5;"Current policies"
"OPEX";"Energy";"UK";"Specific Energy Consumption";"Tractor-trailer";"ICET";"MC_MTM";"kWh/100km";2030;276,5;"Current policies"
"OPEX";"Energy";"DE";"Specific Energy Consumption";"Tractor-trailer";"ICET";"HC_LTM";"kWh/100km";2030;288;"Current policies"
"OPEX";"Energy";"ES";"Specific Energy Consumption";"Tractor-trailer";"ICET";"HC_LTM";"kWh/100km";2030;288;"Current policies"
"OPEX";"Energy";"FR";"Specific Energy Consumption";"Tractor-trailer";"ICET";"HC_LTM";"kWh/100km";2030;288;"Current policies"
"OPEX";"Energy";"IT";"Specific Energy Consumption";"Tractor-trailer";"ICET";"HC_LTM";"kWh/100km";2030;288;"Current policies"
"OPEX";"Energy";"NL";"Specific Energy Consumption";"Tractor-trailer";"ICET";"HC_LTM";"kWh/100km";2030;288;"Current policies"
"OPEX";"Energy";"PL";"Specific Energy Consumption";"Tractor-trailer";"ICET";"HC_LTM";"kWh/100km";2030;288;"Current policies"
"OPEX";"Energy";"UK";"Specific Energy Consumption";"Tractor-trailer";"ICET";"HC_LTM";"kWh/100km";2030;288;"Current policies"
"OPEX";"Energy";"DE";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"LC_HTM";"kWh/100km";2030;105;"Current policies"
"OPEX";"Energy";"ES";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"LC_HTM";"kWh/100km";2030;105;"Current policies"
"OPEX";"Energy";"FR";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"LC_HTM";"kWh/100km";2030;105;"Current policies"
"OPEX";"Energy";"IT";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"LC_HTM";"kWh/100km";2030;105;"Current policies"
"OPEX";"Energy";"NL";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"LC_HTM";"kWh/100km";2030;105;"Current policies"
"OPEX";"Energy";"PL";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"LC_HTM";"kWh/100km";2030;105;"Current policies"
"OPEX";"Energy";"UK";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"LC_HTM";"kWh/100km";2030;105;"Current policies"
"OPEX";"Energy";"DE";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"MC_MTM";"kWh/100km";2030;110;"Current policies"
"OPEX";"Energy";"ES";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"MC_MTM";"kWh/100km";2030;110;"Current policies"
"OPEX";"Energy";"FR";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"MC_MTM";"kWh/100km";2030;110;"Current policies"
"OPEX";"Energy";"IT";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"MC_MTM";"kWh/100km";2030;110;"Current policies"
"OPEX";"Energy";"NL";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"MC_MTM";"kWh/100km";2030;110;"Current policies"
"OPEX";"Energy";"PL";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"MC_MTM";"kWh/100km";2030;110;"Current policies"
"OPEX";"Energy";"UK";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"MC_MTM";"kWh/100km";2030;110;"Current policies"
"OPEX";"Energy";"DE";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"HC_LTM";"kWh/100km";2030;120;"Current policies"
"OPEX";"Energy";"ES";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"HC_LTM";"kWh/100km";2030;120;"Current policies"
"OPEX";"Energy";"FR";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"HC_LTM";"kWh/100km";2030;120;"Current policies"
"OPEX";"Energy";"IT";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"HC_LTM";"kWh/100km";2030;120;"Current policies"
"OPEX";"Energy";"NL";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"HC_LTM";"kWh/100km";2030;120;"Current policies"
"OPEX";"Energy";"PL";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"HC_LTM";"kWh/100km";2030;120;"Current policies"
"OPEX";"Energy";"UK";"Specific Energy Consumption";"Tractor-trailer";"BET large battery";"HC_LTM";"kWh/100km";2030;120;"Current policies"
"OPEX";"Energy";"DE";"Specific Energy Consumption";"Tractor-trailer";"BET small battery";"LC_HTM";"kWh/100km";2030;100;"Current policies"
"OPEX";"Energy";"ES";"Specific Energy Consumption";"Tractor-trailer";"BET small battery";"LC_HTM";"kWh/100km";2030;100;"Current policies"
"OPEX";"Energy";"FR";"Specific Energy Consumption";"Tractor-trailer";"BET small battery";"LC_HTM";"kWh/100km";2030;100;"Current policies"
"OPEX";"Energy";"IT";"Specific Energy Consumption";"Tractor-trailer";"BET small battery";"LC_HTM";"kWh/100km";2030;100;"Current policies"
"OPEX";"Energy";"NL";"Specific Energy Consumption";"Tractor-trailer";"BET small battery";"LC_HTM";"kWh/100km";2030;100;"Current policies"
"OPEX";"Energy";"PL";"Specific Energy Consumption";"Tractor-trailer";"BET small battery";"LC_HTM";"kWh/100km";2030;100;"Current policies"
"OPEX";"Energy";"UK";"Specific Energy Consumption";"Tractor-trailer";"BET small battery";"LC_HTM";"kWh/100km";2030;100;"Current policies"
"OPEX";"Energy";"DE";"Specific Energy Consumption";"Tractor-trailer";"BET small battery";"MC_MTM";"kWh/100km";2030;105;"Current policies"
"OPEX";"Energy";"ES";"Specific Energy Consumption";"Tractor-trailer";"BET small battery";"MC_MTM";"kWh/100km";2030;105;"Current policies"
"OPEX";"Energy";"FR";"Specific Energy Consumption";"Tractor-trailer";"BET small battery";"MC_MTM";"kWh/100km";2030;105;"Current policies"
