vehicleParameterScenario;subCategory;country;parameter;truckClass;truckTechnology;unit;note;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
LC_HTM; Vehicle Spec ;All;Battery capacity;Tractor-trailer;BET large battery;kWh;assumed to max. 900km range;540;556;572;588;604;620;646;672;698;724;750;760;770;780;790;800;810;820;830;840;850;866;882;898;914;930;930;930;930;930;930
LC_HTM; Vehicle Spec ;All;Battery capacity;Tractor-trailer;BET small battery;kWh;assumed to max. 500km range;300;315;330;345;360;375;388;401;414;427;440;450;460;470;480;490;492;494;496;498;500;500;500;500;500;500;500;500;500;500;500
LC_HTM; Vehicle Spec ;All;Battery capacity;Rigid;BET large battery;kWh;eq. to Tractor - max. 900 km;450;472;494;516;538;560;588;616;644;672;700;710;720;730;740;750;760;770;780;790;800;816;832;848;864;880;880;880;880;880;880
LC_HTM; Vehicle Spec ;All;Battery capacity;Rigid;BET small battery;kWh;eq. to Tractor - max. 500 km;250;270;290;310;330;350;362;374;386;398;410;420;430;440;450;460;464;468;472;476;480;480;480;480;480;480;480;480;480;480;480
LC_HTM; Vehicle Spec ;All;Share of Useable Energy;All;FCET, BET;%;incl. oversizing, DoD, SoH, cell-to-pack delta;80%;81%;82%;83%;84%;85%;86%;87%;88%;89%;90%;90%;90%;90%;90%;90%;91%;92%;93%;94%;95%;95%;95%;95%;95%;95%;95%;95%;95%;95%;95%
LC_HTM; Energy ;All;Specific Energy Consumption;Tractor-trailer;BET large battery;kWh/100km;below 1 kWh/km as proposed by Traton;120;119;118;117;116;110;109;108;107;106;105;104;103;102;101;100;99;98;97;96;95;95;95;95;95;95;95;95;95;95;95
LC_HTM; Energy ;All;Specific Energy Consumption;Tractor-trailer;BET small battery;kWh/100km;Delta_Weight based on battery weight delta - approx 1.5 to 2.5 kWh/100km/t ;115;113;111;109;107;105;104;103;102;101;100;99;98;97;96;95;94;93;92;91;90;90;90;90;90;90;90;90;90;90;90
LC_HTM; Energy ;All;Specific Energy Consumption;Rigid;BET large battery;kWh/100km;Closer together (rigid & articulated) as proposed by Traton -> 90% of Tractor-trailer (prev. 85%);108;113;112;111;110;105;104;103;102;101;100;99;98;97;96;95;94;93;92;91;90;90;90;90;90;90;90;90;90;90;90
LC_HTM; Energy ;All;Specific Energy Consumption;Rigid;BET small battery;kWh/100km;Closer together (rigid & articulated) as proposed by Traton -> 90% of Tractor-trailer (prev. 85%);104;107;105;104;102;100;99;98;97;96;95;94;93;92;91;90;89;88;87;86;86;86;86;86;86;86;86;86;86;86;86
LC_HTM; Vehicle Spec ;All;Emergency Range;Tractor-trailer;BET large battery;km;battery sizing remains constant. Limit technical feasibility by lowering with 30km. ;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
LC_HTM; Vehicle Spec ;All;Emergency Range;Tractor-trailer;BET small battery;km;battery sizing remains constant. Limit technical feasibility by lowering with 30km. ;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
LC_HTM; Vehicle Spec ;All;Emergency Range;Rigid;BET large battery;km;battery sizing remains constant. Limit technical feasibility by lowering with 30km. ;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
LC_HTM; Vehicle Spec ;All;Emergency Range;Rigid;BET small battery;km;battery sizing remains constant. Limit technical feasibility by lowering with 30km. ;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
LC_HTM; Vehicle Spec ;All;Range;Tractor-trailer;BET large battery;km;calc. rounded;330;350;370;390;410;450;480;510;540;580;610;630;640;660;670;690;710;740;770;790;820;840;850;870;880;900;900;900;900;900;900
LC_HTM; Vehicle Spec ;All;Range;Tractor-trailer;BET small battery;km;calc. rounded;180;200;210;230;250;270;290;310;330;350;370;380;390;410;420;430;450;460;470;480;500;500;500;500;500;500;500;500;500;500;500
LC_HTM; Vehicle Spec ;All;Range;Rigid;BET large battery;km;calc. rounded;300;310;330;360;380;430;460;490;530;560;600;620;630;650;660;680;710;730;760;780;810;830;850;860;880;900;900;900;900;900;900
LC_HTM; Vehicle Spec ;All;Range;Rigid;BET small battery;km;calc. rounded;160;170;200;220;240;270;290;300;320;340;360;370;390;400;410;430;440;460;470;490;500;500;500;500;500;500;500;500;500;500;500
MC_MTM; Vehicle Spec ;All;Battery capacity;Tractor-trailer;BET large battery;kWh;assumed to max. 750km range;500;516;532;548;564;580;600;620;640;660;680;694;708;722;736;750;762;774;786;798;810;820;830;840;850;860;860;860;860;860;860
MC_MTM; Vehicle Spec ;All;Battery capacity;Tractor-trailer;BET small battery;kWh;assumed to max. 450km range;300;315;330;345;360;375;388;401;414;427;440;448;456;464;472;480;482;484;486;488;490;492;494;496;498;500;500;500;500;500;500
MC_MTM; Vehicle Spec ;All;Battery capacity;Rigid;BET large battery;kWh;eq. to Tractor - max. 750 km;450;468;486;504;522;540;556;572;588;604;620;636;652;668;684;700;712;724;736;748;760;770;780;790;800;810;810;810;810;810;810
MC_MTM; Vehicle Spec ;All;Battery capacity;Rigid;BET small battery;kWh;eq. to Tractor - max. 450 km;250;270;290;310;330;350;362;374;386;398;410;420;430;440;450;460;464;468;472;476;480;480;480;480;480;480;480;480;480;480;480
MC_MTM; Vehicle Spec ;All;Share of Useable Energy;All;FCET, BET;%;incl. oversizing, DoD, SoH, cell-to-pack delta;75%;76%;77%;78%;79%;80%;80%;80%;80%;80%;80%;81%;82%;83%;84%;85%;85%;85%;85%;85%;85%;86%;87%;88%;89%;90%;90%;90%;90%;90%;90%
MC_MTM; Energy ;All;Specific Energy Consumption;Tractor-trailer;BET large battery;kWh/100km;around 1 kWh/km as proposed by Traton;138;134;131;127;124;120;118;116;114;112;110;109;108;107;106;105;104;103;102;101;100;100;100;100;100;100;100;100;100;100;100
