;type;tfl_av;tfl_max;wfl;jfl;bet_sr_feas_pess;bet_lr_feas_pess;bet_sr_share_pess;bet_lr_share_pess;bet_sr_feas_med;bet_lr_feas_med;bet_sr_share_med;bet_lr_share_med;bet_sr_feas_opt;bet_lr_feas_opt;bet_sr_share_opt;bet_lr_share_opt;bet_sr_feas_med5YDelayMCS;bet_lr_feas_med5YDelayMCS;bet_sr_share_med5YDelayMCS;bet_lr_share_med5YDelayMCS
0;rig;328;599;1647;76835.191;1.0;1.0;0.9483530368920736;0.004148541614277;1.0;1.0;0.9483530368920736;0.0489795543096548;1.0;1.0;0.9483530368920736;0.0489795543096548;1.0;1.0;0.5933447228534443;0.2412867627154136
1;rig;671;889;3362;156842.692;0.0;1.0;0.0;0.9483530368920736;0.0;1.0;0.0;0.9483530368920736;1.0;1.0;0.9483530368920736;0.0489795543096548;0.0;1.0;0.0;0.5933447228534443
2;rig;320;397;1603;74782.521;1.0;1.0;0.9483530368920736;0.004148541614277;1.0;1.0;0.9483530368920736;0.0489795543096548;1.0;1.0;0.9483530368920736;0.0489795543096548;1.0;1.0;0.5933447228534443;0.2412867627154136
3;rig;260;353;1303;60787.04;1.0;1.0;0.9483530368920736;0.0002271692244696;1.0;1.0;0.9483530368920736;0.0489795543096548;1.0;1.0;0.9483530368920736;0.0489795543096548;1.0;1.0;0.5933447228534443;0.2412867627154136
4;rig;585;719;2930;136689.199;0.0;1.0;0.0;0.9483530368920736;1.0;1.0;0.9483530368920736;0.0489795543096548;1.0;1.0;0.9483530368920736;0.0489795543096548;1.0;1.0;0.5933447228534443;0.2412867627154136
5;rig;653;869;3924;183060.893;0.0;1.0;0.0;0.9483530368920736;0.0;1.0;0.0;0.9483530368920736;1.0;1.0;0.9483530368920736;0.0489795543096548;0.0;1.0;0.0;0.5933447228534443
6;rig;272;388;1366;63726.091;1.0;1.0;0.9483530368920736;0.0002271692244696;1.0;1.0;0.9483530368920736;0.0489795543096548;1.0;1.0;0.9483530368920736;0.0489795543096548;1.0;1.0;0.5933447228534443;0.2412867627154136
7;rig;75;117;378;17634.306;1.0;1.0;0.0;0.0;1.0;1.0;0.9483530368920736;0.0;1.0;1.0;0.9483530368920736;0.0489795543096548;1.0;1.0;0.5933447228534443;0.0
8;rig;110;136;553;25798.337;1.0;1.0;0.0;0.0;1.0;1.0;0.9483530368920736;0.0429316596820307;1.0;1.0;0.9483530368920736;0.0489795543096548;1.0;1.0;0.5933447228534443;0.2114931695210445
9;rig;197;219;991;46231.739;1.0;1.0;0.0803249864974215;0.0;1.0;1.0;0.9483530368920736;0.0489795543096548;1.0;1.0;0.9483530368920736;0.0489795543096548;1.0;1.0;0.5933447228534443;0.2412867627154136
10;rig;76;115;387;18054.171;1.0;1.0;0.0;0.0;1.0;1.0;0.9483530368920736;0.0;1.0;1.0;0.9483530368920736;0.0489795543096548;1.0;1.0;0.5933447228534443;0.0
11;rig;157;290;788;36761.464;1.0;1.0;0.0043985011082817;0.0;1.0;1.0;0.9483530368920736;0.0489795543096548;1.0;1.0;0.9483530368920736;0.0489795543096548;1.0;1.0;0.5933447228534443;0.2412867627154136
