;type;tfl_av;tfl_max;wfl;jfl;bet_sr_feas_pess;bet_lr_feas_pess;bet_sr_share_pess;bet_lr_share_pess;bet_sr_feas_med;bet_lr_feas_med;bet_sr_share_med;bet_lr_share_med;bet_sr_feas_opt;bet_lr_feas_opt;bet_sr_share_opt;bet_lr_share_opt;bet_sr_feas_med5YDelayMCS;bet_lr_feas_med5YDelayMCS;bet_sr_share_med5YDelayMCS;bet_lr_share_med5YDelayMCS
0;rig;47;59;239;11149.733;1.0;1.0;0.0;0.0;1.0;1.0;0.873926317874528;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.863589012868261;0.0
1;rig;234;309;1173;54722.331;1.0;1.0;2.091274332286633e-06;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
2;rig;244;370;1223;57054.911;1.0;1.0;2.091274332286633e-06;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
3;rig;321;527;1608;75015.779;1.0;1.0;0.0024999448449929;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
4;rig;363;386;1819;84859.267;1.0;1.0;0.0028568621940376;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
5;rig;38;55;196;9143.714;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.0;0.0
6;rig;263;307;1321;61626.768;1.0;1.0;0.0024999448449929;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
7;rig;229;353;1148;53556.041;1.0;1.0;2.091274332286633e-06;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
8;rig;455;495;2280;106365.656;1.0;1.0;0.0028568621940376;3.257787082603252e-06;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
9;rig;82;121;415;19360.416;1.0;1.0;0.0;0.0;1.0;1.0;0.9986968564170012;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.0
10;rig;374;593;1878;87611.712;1.0;1.0;0.0028568621940376;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
11;rig;255;284;1282;59807.356;1.0;1.0;2.091274332286633e-06;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
12;rig;340;357;1703;79447.681;1.0;1.0;0.0024999448449929;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
13;rig;466;567;2333;108838.191;1.0;1.0;0.0028568621940376;3.257787082603252e-06;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
14;rig;375;457;1880;87705.015;1.0;1.0;0.0028568621940376;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
15;rig;170;233;855;39887.121;1.0;1.0;2.091274332286633e-06;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
16;rig;644;823;3227;150544.725;1.0;1.0;0.9986968564170012;3.7229016356720953e-06;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
17;rig;318;604;1593;74316.005;1.0;1.0;0.0024999448449929;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
18;rig;449;616;2251;105012.76;1.0;1.0;0.0028568621940376;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
19;rig;232;337;1167;54442.422;1.0;1.0;2.091274332286633e-06;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
20;rig;178;185;891;41566.579;1.0;1.0;2.091274332286633e-06;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
21;rig;315;431;1578;73616.231;1.0;1.0;0.0024999448449929;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
22;rig;353;561;1770;82573.339;1.0;1.0;0.0028568621940376;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
23;rig;64;73;324;15115.12;1.0;1.0;0.0;0.0;1.0;1.0;0.873926317874528;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.863589012868261;0.0
24;rig;288;300;1446;67458.219;1.0;1.0;0.0024999448449929;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
25;rig;75;98;380;17727.609;1.0;1.0;0.0;0.0;1.0;1.0;0.9986968564170012;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.0
26;rig;266;449;1337;62373.194;1.0;1.0;0.0024999448449929;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
27;rig;366;500;1837;85698.996;1.0;1.0;0.0028568621940376;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
28;rig;527;653;2641;123206.885;1.0;1.0;0.0028568621940376;3.257787082603252e-06;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
29;rig;333;518;1668;77814.875;1.0;1.0;0.0024999448449929;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
30;rig;708;959;4257;198595.877;0.0;1.0;0.0;0.0028568621940376;0.0;1.0;0.0;0.9986968564170012;1.0;1.0;0.9986968564170012;0.0013014453998008;0.0;1.0;0.0;0.98688369345071
31;rig;329;488;1651;77021.798;1.0;1.0;0.0024999448449929;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
32;rig;315;507;1577;73569.579;1.0;1.0;0.0024999448449929;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
33;rig;296;579;1485;69277.631;1.0;1.0;0.0024999448449929;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
34;rig;594;682;2975;138788.521;1.0;1.0;0.0028568621940376;3.7229016356718776e-06;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
35;rig;356;370;1786;83319.764;1.0;1.0;0.0028568621940376;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
36;rig;276;358;1382;64472.516;1.0;1.0;0.0024999448449929;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
37;rig;134;251;675;31489.832;1.0;1.0;0.0;0.0;1.0;1.0;0.9986968564170012;0.0011388514731519;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.0113270982253788
38;rig;511;685;2562;119521.409;1.0;1.0;0.0028568621940376;3.257787082603252e-06;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
39;rig;90;119;453;21133.176;1.0;1.0;0.0;0.0;1.0;1.0;0.9986968564170012;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.0
40;rig;256;399;1285;59947.311;1.0;1.0;2.091274332286633e-06;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
41;rig;315;695;1582;73802.837;1.0;1.0;0.0024999448449929;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
42;rig;251;258;1262;58874.324;1.0;1.0;2.091274332286633e-06;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
43;rig;225;237;1129;52669.661;1.0;1.0;2.091274332286633e-06;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
44;rig;238;355;1194;55702.015;1.0;1.0;2.091274332286633e-06;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
45;rig;34;53;176;8210.682;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.9986968564170012;0.0;1.0;1.0;0.0;0.0
46;rig;388;487;1942;90597.414;1.0;1.0;0.0028568621940376;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
47;rig;93;138;470;21926.254;1.0;1.0;0.0;0.0;1.0;1.0;0.9986968564170012;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.0
48;rig;290;429;1454;67831.432;1.0;1.0;0.0024999448449929;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
49;rig;308;373;1544;72030.076;1.0;1.0;0.0024999448449929;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
50;rig;251;356;1258;58687.717;1.0;1.0;2.091274332286633e-06;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
51;rig;595;670;2981;139068.431;1.0;1.0;0.0028568621940376;3.7229016356718776e-06;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
52;rig;335;489;1678;78281.391;1.0;1.0;0.0024999448449929;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
53;rig;262;437;1317;61440.162;1.0;1.0;0.0024999448449929;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
54;rig;82;124;412;19220.461;1.0;1.0;0.0;0.0;1.0;1.0;0.9986968564170012;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.0
55;rig;175;259;878;40960.108;1.0;1.0;2.091274332286633e-06;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
56;rig;525;859;2629;122647.066;0.0;1.0;0.0;0.0024999448449929;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
57;rig;53;80;269;12549.281;1.0;1.0;0.0;0.0;1.0;1.0;0.873926317874528;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.863589012868261;0.0
58;rig;315;450;1581;73756.185;1.0;1.0;0.0024999448449929;2.72523072640956e-09;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
59;rig;497;635;2491;116209.145;1.0;1.0;0.0028568621940376;3.257787082603252e-06;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
60;rig;115;152;579;27011.279;1.0;1.0;0.0;0.0;1.0;1.0;0.9986968564170012;0.0011388514731519;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.0113270982253788
61;rig;57;68;289;13482.313;1.0;1.0;0.0;0.0;1.0;1.0;0.873926317874528;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.863589012868261;0.0
62;rig;188;235;943;43992.462;1.0;1.0;2.091274332286633e-06;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
63;rig;497;761;2491;116209.145;1.0;1.0;0.0028568621940376;3.257787082603252e-06;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
64;rig;57;69;291;13575.617;1.0;1.0;0.0;0.0;1.0;1.0;0.873926317874528;0.0;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.863589012868261;0.0
65;rig;535;874;2680;125026.298;0.0;1.0;0.0;0.0024999448449929;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.9986968564170012;0.0013014453998008;1.0;1.0;0.98688369345071;0.012944269051795
